state,head_of_state_salary_usd,post,source1,source2,source3,head_of_government_salary_usd,post_hg,source1_hg,source2_hg,source3_hg,head_of_state_salary_divided_by_gdp_1_per_million,head_of_government_salary_divided_by_gdp_1_per_million,head_of_state_salary_divided_by_gdp_per_capita,head_of_government_salary_divided_by_gdp_per_capita
Afghanistan,13400, President, 3,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,22.7891,NA
Albania,19665, President, 4,NA,NA,20400, Prime Minister, 5,NA,NA,0.6415,1.5691,4.2909,4.4512
Algeria,168000, President, 6, 7,NA,61100, Prime Minister, 8,NA,NA,0.6415,NA,39.1426,NA
Andorra,NA,NA,NA,NA,NA,82800, Prime Minister, 9,NA,NA,0.6415,NA,NA,NA
Angola,74480, President, 10,NA,NA,61330, Vice President, 10,NA,NA,0.6415,NA,13.6116,NA
Antigua and Barbuda,40225, Governor General, 11,NA,NA,55504, Prime Minister, 12,NA,NA,0.6415,26.0586,2.4084,2.3949
Argentina,65320, President, 13,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,4.5151,NA
Armenia,32400, President, 14,NA,NA,29570, Prime Minister, 15,NA,NA,0.6415,2.6792,8.3916,7.6586
Australia,346777, Governor General, 16,NA,NA,384767, Prime Minister, 17,NA,NA,0.6415,0.3678,7.6292,9.1073
Austria,410000, President, 18,NA,NA,328600, Chancellor, 18,NA,NA,0.6415,0.7883,8.6699,6.9486
Azerbaijan,225000, President, 19,NA,NA,17000, Prime Minister, 20,NA,NA,0.6415,NA,54.3347,NA
Bahamas,37000, Governor General, 21,NA,NA,86000, Prime Minister, 22,NA,NA,0.6415,9.4226,1.1838,2.7516
Bahrain,22400000, King privy purse, 23,NA,NA,239400, Prime Minister, 24,NA,NA,0.6415,6.8606,NA,9.963
Bangladesh,17100, President, 25,NA,NA,16400, Prime Minister, 25,NA,NA,0.6415,0.0627,10.6742,10.2372
Barbados,110499, Governor General, 26,NA,NA,101588, Prime Minister, 27,NA,NA,0.6415,21.072,NA,5.6883
Belarus,33600, President, 28,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,5.8333,NA
Belgium,14454440, King royal grant, 18,NA,NA,262964, Prime Minister, 18,NA,NA,0.6415,0.5315,331.6608,6.0338
Belize,26241, Governor General, 29,NA,NA,45500, Prime Minister, 30,NA,NA,0.6415,25.0137,5.46,9.4673
Benin,29810, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,35.9157,NA
Bhutan,NA,NA,NA,NA,NA,37365, Prime Minister, 31,NA,NA,0.6415,16.0987,NA,12.8712
Bolivia,39924, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,11.9069,NA
