state,head_of_state_salary_usd,post,source1,source2,source3,head_of_government_salary_usd,post_hg,source1_hg,source2_hg,source3_hg,head_of_state_salary_divided_by_gdp_1_per_million,head_of_government_salary_divided_by_gdp_1_per_million,head_of_state_salary_divided_by_gdp_per_capita,head_of_government_salary_divided_by_gdp_per_capita,iso3
United Kingdom,122442508, Queen royal grant, 18,NA,NA,185500, Prime Minister , 173,NA,NA,0.6415,0.0823,2702.7126,5.4355,GBR
United States,400000, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,6.7226,NA,USA
Uruguay,139608, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,8.3488,NA,URY
Uzbekistan,15600, President, 83, 84,NA,NA,NA,NA,NA,NA,0.6415,NA,10.4628,NA,UZB
Vanuatu,32295, President, 174,NA,NA,32295, Prime Minister, 174,NA,NA,0.6415,38.5842,10.4379,10.4379,VUT
Vatican City,0, Pope, 9,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,VAT
Venezuela,48816, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,7.3034,NA,VEN
Vietnam,8320, President, 175,NA,NA,8000, Prime Minister, 175, 176,NA,0.6415,0.0363,3.5344,3.3985,VNM
Yemen,15300, President, 177,NA,NA,12040, Prime Minister, 177,NA,NA,0.6415,0.7292,27.7677,21.8512,YEM
Zambia,63100, President, 178, 7,NA,43800, Vice President, 179,NA,NA,0.6415,NA,43.2432,NA,ZMB
Zimbabwe,146590, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,124.6514,NA,ZWE
